create table Rel-i-i-1000 (left INT, right INT, PRIMARY KEY (left));
insert into Rel-i-i-1000 (left,right) values (234,1);
insert into Rel-i-i-1000 (left,right) values (235,1);
insert into Rel-i-i-1000 (left,right) values (236,1);
insert into Rel-i-i-1000 (left,right) values (237,1);
insert into Rel-i-i-1000 (left,right) values (238,1);
insert into Rel-i-i-1000 (left,right) values (239,1);
insert into Rel-i-i-1000 (left,right) values (240,1);
insert into Rel-i-i-1000 (left,right) values (241,1);
insert into Rel-i-i-1000 (left,right) values (242,1);
insert into Rel-i-i-1000 (left,right) values (243,1);
insert into Rel-i-i-1000 (left,right) values (244,1);
insert into Rel-i-i-1000 (left,right) values (245,1);
insert into Rel-i-i-1000 (left,right) values (246,1);
insert into Rel-i-i-1000 (left,right) values (247,1);
insert into Rel-i-i-1000 (left,right) values (248,1);
insert into Rel-i-i-1000 (left,right) values (249,1);
insert into Rel-i-i-1000 (left,right) values (250,1);
insert into Rel-i-i-1000 (left,right) values (251,1);
insert into Rel-i-i-1000 (left,right) values (252,1);
insert into Rel-i-i-1000 (left,right) values (253,1);
insert into Rel-i-i-1000 (left,right) values (254,1);
insert into Rel-i-i-1000 (left,right) values (255,1);
insert into Rel-i-i-1000 (left,right) values (256,1);
insert into Rel-i-i-1000 (left,right) values (257,1);
insert into Rel-i-i-1000 (left,right) values (258,1);
insert into Rel-i-i-1000 (left,right) values (259,1);
insert into Rel-i-i-1000 (left,right) values (260,1);
insert into Rel-i-i-1000 (left,right) values (261,1);
insert into Rel-i-i-1000 (left,right) values (262,1);
insert into Rel-i-i-1000 (left,right) values (263,1);
insert into Rel-i-i-1000 (left,right) values (264,1);
insert into Rel-i-i-1000 (left,right) values (265,1);
insert into Rel-i-i-1000 (left,right) values (266,1);
insert into Rel-i-i-1000 (left,right) values (267,1);
insert into Rel-i-i-1000 (left,right) values (268,1);
insert into Rel-i-i-1000 (left,right) values (269,1);
insert into Rel-i-i-1000 (left,right) values (270,1);
insert into Rel-i-i-1000 (left,right) values (271,1);
insert into Rel-i-i-1000 (left,right) values (272,1);
insert into Rel-i-i-1000 (left,right) values (273,1);
insert into Rel-i-i-1000 (left,right) values (274,1);
insert into Rel-i-i-1000 (left,right) values (275,1);
insert into Rel-i-i-1000 (left,right) values (276,1);
insert into Rel-i-i-1000 (left,right) values (277,1);
insert into Rel-i-i-1000 (left,right) values (278,1);
insert into Rel-i-i-1000 (left,right) values (279,1);
insert into Rel-i-i-1000 (left,right) values (280,1);
insert into Rel-i-i-1000 (left,right) values (281,1);
insert into Rel-i-i-1000 (left,right) values (282,1);
insert into Rel-i-i-1000 (left,right) values (283,1);
insert into Rel-i-i-1000 (left,right) values (284,1);
insert into Rel-i-i-1000 (left,right) values (285,1);
insert into Rel-i-i-1000 (left,right) values (286,1);
insert into Rel-i-i-1000 (left,right) values (287,1);
insert into Rel-i-i-1000 (left,right) values (288,1);
insert into Rel-i-i-1000 (left,right) values (289,1);
insert into Rel-i-i-1000 (left,right) values (290,1);
insert into Rel-i-i-1000 (left,right) values (291,1);
insert into Rel-i-i-1000 (left,right) values (292,1);
insert into Rel-i-i-1000 (left,right) values (293,1);
insert into Rel-i-i-1000 (left,right) values (294,1);
insert into Rel-i-i-1000 (left,right) values (295,1);
insert into Rel-i-i-1000 (left,right) values (296,1);
insert into Rel-i-i-1000 (left,right) values (297,1);
insert into Rel-i-i-1000 (left,right) values (298,1);
insert into Rel-i-i-1000 (left,right) values (299,1);
insert into Rel-i-i-1000 (left,right) values (300,1);
insert into Rel-i-i-1000 (left,right) values (301,1);
insert into Rel-i-i-1000 (left,right) values (302,1);
insert into Rel-i-i-1000 (left,right) values (303,1);
insert into Rel-i-i-1000 (left,right) values (304,1);
insert into Rel-i-i-1000 (left,right) values (305,1);
insert into Rel-i-i-1000 (left,right) values (306,1);
insert into Rel-i-i-1000 (left,right) values (307,1);
insert into Rel-i-i-1000 (left,right) values (308,1);
insert into Rel-i-i-1000 (left,right) values (309,1);
insert into Rel-i-i-1000 (left,right) values (310,1);
insert into Rel-i-i-1000 (left,right) values (311,1);
insert into Rel-i-i-1000 (left,right) values (312,1);
insert into Rel-i-i-1000 (left,right) values (313,1);
insert into Rel-i-i-1000 (left,right) values (314,1);
insert into Rel-i-i-1000 (left,right) values (315,1);
insert into Rel-i-i-1000 (left,right) values (316,1);
insert into Rel-i-i-1000 (left,right) values (317,1);
insert into Rel-i-i-1000 (left,right) values (318,1);
insert into Rel-i-i-1000 (left,right) values (319,1);
insert into Rel-i-i-1000 (left,right) values (320,1);
insert into Rel-i-i-1000 (left,right) values (321,1);
insert into Rel-i-i-1000 (left,right) values (322,1);
insert into Rel-i-i-1000 (left,right) values (323,1);
insert into Rel-i-i-1000 (left,right) values (324,1);
insert into Rel-i-i-1000 (left,right) values (325,1);
insert into Rel-i-i-1000 (left,right) values (326,1);
insert into Rel-i-i-1000 (left,right) values (327,1);
insert into Rel-i-i-1000 (left,right) values (328,1);
insert into Rel-i-i-1000 (left,right) values (329,1);
insert into Rel-i-i-1000 (left,right) values (330,1);
insert into Rel-i-i-1000 (left,right) values (331,1);
insert into Rel-i-i-1000 (left,right) values (332,1);
insert into Rel-i-i-1000 (left,right) values (333,1);
insert into Rel-i-i-1000 (left,right) values (334,1);
insert into Rel-i-i-1000 (left,right) values (335,1);
insert into Rel-i-i-1000 (left,right) values (336,1);
insert into Rel-i-i-1000 (left,right) values (337,1);
insert into Rel-i-i-1000 (left,right) values (338,1);
insert into Rel-i-i-1000 (left,right) values (339,1);
insert into Rel-i-i-1000 (left,right) values (340,1);
insert into Rel-i-i-1000 (left,right) values (341,1);
insert into Rel-i-i-1000 (left,right) values (342,1);
insert into Rel-i-i-1000 (left,right) values (343,1);
insert into Rel-i-i-1000 (left,right) values (344,1);
insert into Rel-i-i-1000 (left,right) values (345,1);
insert into Rel-i-i-1000 (left,right) values (346,1);
insert into Rel-i-i-1000 (left,right) values (347,1);
insert into Rel-i-i-1000 (left,right) values (348,1);
insert into Rel-i-i-1000 (left,right) values (349,1);
insert into Rel-i-i-1000 (left,right) values (350,1);
insert into Rel-i-i-1000 (left,right) values (351,1);
insert into Rel-i-i-1000 (left,right) values (352,1);
insert into Rel-i-i-1000 (left,right) values (353,1);
insert into Rel-i-i-1000 (left,right) values (354,1);
insert into Rel-i-i-1000 (left,right) values (355,1);
insert into Rel-i-i-1000 (left,right) values (356,1);
insert into Rel-i-i-1000 (left,right) values (357,1);
insert into Rel-i-i-1000 (left,right) values (358,1);
insert into Rel-i-i-1000 (left,right) values (359,1);
insert into Rel-i-i-1000 (left,right) values (360,1);
insert into Rel-i-i-1000 (left,right) values (361,1);
insert into Rel-i-i-1000 (left,right) values (362,1);
insert into Rel-i-i-1000 (left,right) values (363,1);
insert into Rel-i-i-1000 (left,right) values (364,1);
insert into Rel-i-i-1000 (left,right) values (365,1);
insert into Rel-i-i-1000 (left,right) values (366,1);
insert into Rel-i-i-1000 (left,right) values (367,1);
insert into Rel-i-i-1000 (left,right) values (368,1);
insert into Rel-i-i-1000 (left,right) values (369,1);
insert into Rel-i-i-1000 (left,right) values (370,1);
insert into Rel-i-i-1000 (left,right) values (371,1);
insert into Rel-i-i-1000 (left,right) values (372,1);
insert into Rel-i-i-1000 (left,right) values (373,1);
insert into Rel-i-i-1000 (left,right) values (374,1);
insert into Rel-i-i-1000 (left,right) values (375,1);
insert into Rel-i-i-1000 (left,right) values (376,1);
insert into Rel-i-i-1000 (left,right) values (377,1);
insert into Rel-i-i-1000 (left,right) values (378,1);
insert into Rel-i-i-1000 (left,right) values (379,1);
insert into Rel-i-i-1000 (left,right) values (380,1);
insert into Rel-i-i-1000 (left,right) values (381,1);
insert into Rel-i-i-1000 (left,right) values (382,1);
insert into Rel-i-i-1000 (left,right) values (383,1);
insert into Rel-i-i-1000 (left,right) values (384,1);
insert into Rel-i-i-1000 (left,right) values (385,1);
insert into Rel-i-i-1000 (left,right) values (386,1);
insert into Rel-i-i-1000 (left,right) values (387,1);
insert into Rel-i-i-1000 (left,right) values (388,1);
insert into Rel-i-i-1000 (left,right) values (389,1);
insert into Rel-i-i-1000 (left,right) values (390,1);
insert into Rel-i-i-1000 (left,right) values (391,1);
insert into Rel-i-i-1000 (left,right) values (392,1);
insert into Rel-i-i-1000 (left,right) values (393,1);
insert into Rel-i-i-1000 (left,right) values (394,1);
insert into Rel-i-i-1000 (left,right) values (395,1);
insert into Rel-i-i-1000 (left,right) values (396,1);
insert into Rel-i-i-1000 (left,right) values (397,1);
insert into Rel-i-i-1000 (left,right) values (398,1);
insert into Rel-i-i-1000 (left,right) values (399,1);
insert into Rel-i-i-1000 (left,right) values (400,1);
insert into Rel-i-i-1000 (left,right) values (401,1);
insert into Rel-i-i-1000 (left,right) values (402,1);
insert into Rel-i-i-1000 (left,right) values (403,1);
insert into Rel-i-i-1000 (left,right) values (404,1);
insert into Rel-i-i-1000 (left,right) values (405,1);
insert into Rel-i-i-1000 (left,right) values (406,1);
insert into Rel-i-i-1000 (left,right) values (407,1);
insert into Rel-i-i-1000 (left,right) values (408,1);
insert into Rel-i-i-1000 (left,right) values (409,1);
insert into Rel-i-i-1000 (left,right) values (410,1);
insert into Rel-i-i-1000 (left,right) values (411,1);
insert into Rel-i-i-1000 (left,right) values (412,1);
insert into Rel-i-i-1000 (left,right) values (413,1);
insert into Rel-i-i-1000 (left,right) values (414,1);
insert into Rel-i-i-1000 (left,right) values (415,1);
insert into Rel-i-i-1000 (left,right) values (416,1);
insert into Rel-i-i-1000 (left,right) values (417,1);
insert into Rel-i-i-1000 (left,right) values (418,1);
insert into Rel-i-i-1000 (left,right) values (419,1);
insert into Rel-i-i-1000 (left,right) values (420,1);
insert into Rel-i-i-1000 (left,right) values (421,1);
insert into Rel-i-i-1000 (left,right) values (422,1);
insert into Rel-i-i-1000 (left,right) values (423,1);
insert into Rel-i-i-1000 (left,right) values (424,1);
insert into Rel-i-i-1000 (left,right) values (425,1);
insert into Rel-i-i-1000 (left,right) values (426,1);
insert into Rel-i-i-1000 (left,right) values (427,1);
insert into Rel-i-i-1000 (left,right) values (428,1);
insert into Rel-i-i-1000 (left,right) values (429,1);
insert into Rel-i-i-1000 (left,right) values (430,1);
insert into Rel-i-i-1000 (left,right) values (431,1);
insert into Rel-i-i-1000 (left,right) values (432,1);
insert into Rel-i-i-1000 (left,right) values (433,1);
insert into Rel-i-i-1000 (left,right) values (434,1);
insert into Rel-i-i-1000 (left,right) values (435,1);
insert into Rel-i-i-1000 (left,right) values (436,1);
insert into Rel-i-i-1000 (left,right) values (437,1);
insert into Rel-i-i-1000 (left,right) values (438,1);
insert into Rel-i-i-1000 (left,right) values (439,1);
insert into Rel-i-i-1000 (left,right) values (440,1);
insert into Rel-i-i-1000 (left,right) values (441,1);
insert into Rel-i-i-1000 (left,right) values (442,1);
insert into Rel-i-i-1000 (left,right) values (443,1);
insert into Rel-i-i-1000 (left,right) values (444,1);
insert into Rel-i-i-1000 (left,right) values (445,1);
insert into Rel-i-i-1000 (left,right) values (446,1);
insert into Rel-i-i-1000 (left,right) values (447,1);
insert into Rel-i-i-1000 (left,right) values (448,1);
insert into Rel-i-i-1000 (left,right) values (449,1);
insert into Rel-i-i-1000 (left,right) values (450,1);
insert into Rel-i-i-1000 (left,right) values (451,1);
insert into Rel-i-i-1000 (left,right) values (452,1);
insert into Rel-i-i-1000 (left,right) values (453,1);
insert into Rel-i-i-1000 (left,right) values (454,1);
insert into Rel-i-i-1000 (left,right) values (455,1);
insert into Rel-i-i-1000 (left,right) values (456,1);
insert into Rel-i-i-1000 (left,right) values (457,1);
insert into Rel-i-i-1000 (left,right) values (458,1);
insert into Rel-i-i-1000 (left,right) values (459,1);
insert into Rel-i-i-1000 (left,right) values (460,1);
insert into Rel-i-i-1000 (left,right) values (461,1);
insert into Rel-i-i-1000 (left,right) values (462,1);
insert into Rel-i-i-1000 (left,right) values (463,1);
insert into Rel-i-i-1000 (left,right) values (464,1);
insert into Rel-i-i-1000 (left,right) values (465,1);
insert into Rel-i-i-1000 (left,right) values (466,1);
insert into Rel-i-i-1000 (left,right) values (467,1);
insert into Rel-i-i-1000 (left,right) values (468,1);
insert into Rel-i-i-1000 (left,right) values (469,1);
insert into Rel-i-i-1000 (left,right) values (470,1);
insert into Rel-i-i-1000 (left,right) values (471,1);
insert into Rel-i-i-1000 (left,right) values (472,1);
insert into Rel-i-i-1000 (left,right) values (473,1);
insert into Rel-i-i-1000 (left,right) values (474,1);
insert into Rel-i-i-1000 (left,right) values (475,1);
insert into Rel-i-i-1000 (left,right) values (476,1);
insert into Rel-i-i-1000 (left,right) values (477,1);
insert into Rel-i-i-1000 (left,right) values (478,1);
insert into Rel-i-i-1000 (left,right) values (479,1);
insert into Rel-i-i-1000 (left,right) values (480,1);
insert into Rel-i-i-1000 (left,right) values (481,1);
insert into Rel-i-i-1000 (left,right) values (482,1);
insert into Rel-i-i-1000 (left,right) values (483,1);
insert into Rel-i-i-1000 (left,right) values (484,1);
insert into Rel-i-i-1000 (left,right) values (485,1);
insert into Rel-i-i-1000 (left,right) values (486,1);
insert into Rel-i-i-1000 (left,right) values (487,1);
insert into Rel-i-i-1000 (left,right) values (488,1);
insert into Rel-i-i-1000 (left,right) values (489,1);
insert into Rel-i-i-1000 (left,right) values (490,1);
insert into Rel-i-i-1000 (left,right) values (491,1);
insert into Rel-i-i-1000 (left,right) values (492,1);
insert into Rel-i-i-1000 (left,right) values (493,1);
insert into Rel-i-i-1000 (left,right) values (494,1);
insert into Rel-i-i-1000 (left,right) values (495,1);
insert into Rel-i-i-1000 (left,right) values (496,1);
insert into Rel-i-i-1000 (left,right) values (497,1);
insert into Rel-i-i-1000 (left,right) values (498,1);
insert into Rel-i-i-1000 (left,right) values (499,1);
insert into Rel-i-i-1000 (left,right) values (500,1);
insert into Rel-i-i-1000 (left,right) values (501,1);
insert into Rel-i-i-1000 (left,right) values (502,1);
insert into Rel-i-i-1000 (left,right) values (503,1);
insert into Rel-i-i-1000 (left,right) values (504,1);
insert into Rel-i-i-1000 (left,right) values (505,1);
insert into Rel-i-i-1000 (left,right) values (506,1);
insert into Rel-i-i-1000 (left,right) values (507,1);
insert into Rel-i-i-1000 (left,right) values (508,1);
insert into Rel-i-i-1000 (left,right) values (509,1);
insert into Rel-i-i-1000 (left,right) values (510,1);
insert into Rel-i-i-1000 (left,right) values (511,1);
insert into Rel-i-i-1000 (left,right) values (512,1);
insert into Rel-i-i-1000 (left,right) values (513,1);
insert into Rel-i-i-1000 (left,right) values (514,1);
insert into Rel-i-i-1000 (left,right) values (515,1);
insert into Rel-i-i-1000 (left,right) values (516,1);
insert into Rel-i-i-1000 (left,right) values (517,1);
insert into Rel-i-i-1000 (left,right) values (518,1);
insert into Rel-i-i-1000 (left,right) values (519,1);
insert into Rel-i-i-1000 (left,right) values (520,1);
insert into Rel-i-i-1000 (left,right) values (521,1);
insert into Rel-i-i-1000 (left,right) values (522,1);
insert into Rel-i-i-1000 (left,right) values (523,1);
insert into Rel-i-i-1000 (left,right) values (524,1);
insert into Rel-i-i-1000 (left,right) values (525,1);
insert into Rel-i-i-1000 (left,right) values (526,1);
insert into Rel-i-i-1000 (left,right) values (527,1);
insert into Rel-i-i-1000 (left,right) values (528,1);
insert into Rel-i-i-1000 (left,right) values (529,1);
insert into Rel-i-i-1000 (left,right) values (530,1);
insert into Rel-i-i-1000 (left,right) values (531,1);
insert into Rel-i-i-1000 (left,right) values (532,1);
insert into Rel-i-i-1000 (left,right) values (533,1);
insert into Rel-i-i-1000 (left,right) values (534,1);
insert into Rel-i-i-1000 (left,right) values (535,1);
